station_id,station_type,access_mode,port_name,equipment_id,address,slide_mm,cad_x,cad_y,cad_z,draw_x,draw_y
7610,DUAL_ACCESS,UNIVERSAL,4KTS3401_2,4KTS3401,2026,672,69418.509434579,-138580.86522063668,0.0,10217.000031714997,1791.5374536666786
7609,DUAL_ACCESS,UNIVERSAL,4KTS3401_3,4KTS3401,2025,1061,69418.50933333334,-138610.59851103,0.0,10216.999930469334,1821.2707440599916
7615,DUAL_ACCESS,UNIVERSAL,4KTS3402_1,4KTS3402,2029,556,69418.50933333334,-138420.43184436334,0.0,10216.999930469334,1631.1040773933346
7614,DUAL_ACCESS,UNIVERSAL,4KTS3402_2,4KTS3402,2028,2067,69418.50933333334,-138487.09851103,0.0,10216.999930469334,1697.7707440599916
7613,DUAL_ACCESS,UNIVERSAL,4KTS3402_3,4KTS3402,2028,1559,69418.50933333334,-138487.09851103,0.0,10216.999930469334,1697.7707440599916
7619,DUAL_ACCESS,UNIVERSAL,4KTS3403_1,4KTS3403,2032,511,69418.50933333334,-138275.42811870665,0.0,10216.999930469334,1486.100351736648
7618,DUAL_ACCESS,UNIVERSAL,4KTS3403_2,4KTS3403,2031,1364,69418.50933333334,-138320.59851103,0.0,10216.999930469334,1531.2707440599916
7617,DUAL_ACCESS,UNIVERSAL,4KTS3403_3,4KTS3403,2031,853,69418.50933333334,-138320.59851103,0.0,10216.999930469334,1531.2707440599916
7623,DUAL_ACCESS,UNIVERSAL,4KTS3404_1,4KTS3404,2035,1057,69418.50933333334,-138151.92811870665,0.0,10216.999930469334,1362.600351736648
7622,DUAL_ACCESS,UNIVERSAL,4KTS3404_2,4KTS3404,2035,548,69418.50933333334,-138151.92811870665,0.0,10216.999930469334,1362.600351736648
7621,DUAL_ACCESS,UNIVERSAL,4KTS3404_3,4KTS3404,2034,1751,69418.50933333334,-138208.76145204,0.0,10216.999930469334,1419.433685069991
7643,DUAL_ACCESS,UNIVERSAL,4KTS3405_1,4KTS3405,2051,402,69418.50933333334,-137492.92781018335,0.0,10216.999930469334,703.6000432133442
7642,DUAL_ACCESS,UNIVERSAL,4KTS3405_2,4KTS3405,2050,1911,69418.50933333334,-137559.59447685,0.0,10216.999930469334,770.2667098800011
7641,DUAL_ACCESS,UNIVERSAL,4KTS3405_3,4KTS3405,2050,1403,69418.50933333334,-137559.59447685,0.0,10216.999930469334,770.2667098800011
