index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
2383,392.0,255.0,261.0,131.0,820.0,194.0,23.0,199.0
2384,392.0,244.0,261.0,131.0,832.0,194.0,22.0,187.0
2385,392.0,237.0,261.0,131.0,853.0,194.0,23.0,171.0
2386,392.0,244.0,261.0,131.0,873.0,194.0,22.0,181.0
2387,392.0,247.0,261.0,131.0,866.0,194.0,22.0,187.0
2388,392.0,259.0,261.0,131.0,873.0,194.0,22.0,202.0
2389,392.0,261.0,261.0,131.0,870.0,195.0,22.0,205.0
2390,392.0,261.0,258.0,134.0,884.0,196.0,21.0,206.0
2391,392.0,258.0,247.0,145.0,885.0,196.0,20.0,204.0
2392,392.0,245.0,247.0,145.0,869.0,196.0,21.0,192.0
2393,392.0,244.0,247.0,145.0,866.0,195.0,21.0,188.0
2394,392.0,244.0,257.0,135.0,870.0,195.0,21.0,184.0
2395,392.0,235.0,262.0,130.0,870.0,195.0,22.0,176.0
2396,392.0,241.0,265.0,127.0,881.0,195.0,22.0,180.0
2397,392.0,239.0,269.0,123.0,877.0,195.0,22.0,174.0
2398,392.0,235.0,269.0,123.0,864.0,194.0,22.0,167.0
2399,392.0,247.0,269.0,123.0,870.0,194.0,22.0,163.0
2400,386.0,247.0,269.0,117.0,877.0,195.0,22.0,159.0
2401,377.0,244.0,269.0,108.0,893.0,196.0,21.0,160.0
2402,364.0,245.0,269.0,95.0,903.0,197.0,19.0,162.0
2403,364.0,246.0,269.0,95.0,894.0,197.0,19.0,168.0
2404,347.0,257.0,269.0,78.0,903.0,197.0,19.0,181.0
2405,320.0,262.0,269.0,51.0,902.0,197.0,19.0,185.0
2406,309.0,265.0,269.0,40.0,910.0,197.0,19.0,196.0
2633,352.0,301.0,296.0,56.0,540.0,210.0,0.0,218.0
2634,352.0,291.0,296.0,56.0,544.0,210.0,0.0,220.0
2635,352.0,289.0,296.0,56.0,540.0,210.0,0.0,221.0
2636,352.0,291.0,296.0,56.0,541.0,210.0,0.0,218.0
2637,352.0,296.0,294.0,58.0,542.0,210.0,0.0,227.0
2638,352.0,294.0,284.0,68.0,529.0,210.0,1.0,222.0
2639,352.0,281.0,284.0,68.0,523.0,210.0,1.0,218.0
2640,352.0,284.0,283.0,69.0,518.0,210.0,1.0,212.0
2641,352.0,275.0,283.0,69.0,514.0,210.0,1.0,214.0
2642,352.0,276.0,283.0,69.0,517.0,210.0,1.0,218.0
2643,352.0,283.0,279.0,73.0,506.0,210.0,0.0,218.0
2644,352.0,276.0,279.0,73.0,510.0,210.0,1.0,210.0
2645,351.0,279.0,279.0,72.0,522.0,210.0,0.0,219.0
